,DUSDBurnBot_DFIAmount,DUSDBurnBot_DUSDAmount,DUSDBurnBot_SumDUSDAmount
2022-10-07 10:00:00+00:00,-267.9044819,211.49573603,211.49573603
2022-10-07 11:00:00+00:00,-282.51745364,223.02475437,434.52049039999997
2022-10-07 12:00:00+00:00,-272.77547248,215.33039186,649.8508822599999
2022-10-07 13:00:00+00:00,-282.51745364,223.01410879,872.86499105
2022-10-07 14:00:00+00:00,-245.98502429,194.17391546,1067.0389065099998
2022-10-07 15:00:00+00:00,-287.38844422,228.3066657,1295.3455722099998
2022-10-07 16:00:00+00:00,-255.72700545,203.11167428,1498.4572464899998
2022-10-07 17:00:00+00:00,-289.82393951,230.2582631,1728.7155095899998
2022-10-07 18:00:00+00:00,-297.13042538,236.06457626,1964.7800858499998
2022-10-07 19:00:00+00:00,-284.95294893,226.38796347,2191.1680493199997
2022-10-07 20:00:00+00:00,-375.06627466,297.95402657,2489.12207589
2022-10-07 21:00:00+00:00,-299.56592067,237.99531778,2727.1173936699997
2022-10-07 22:00:00+00:00,-306.87240654,243.80156302,2970.9189566899995
2022-10-07 23:00:00+00:00,-284.95294893,226.38120503,3197.3001617199993
2022-10-08 00:00:00+00:00,-294.69493009,234.11882172,3431.4189834399995
2022-10-08 01:00:00+00:00,-306.87240654,243.78731536,3675.2062987999993
2022-10-08 02:00:00+00:00,-299.56592067,237.97776411,3913.1840629099993
2022-10-08 03:00:00+00:00,-306.87240654,243.7758806,4156.959943509999
2022-10-08 04:00:00+00:00,-338.53384531,268.91875897,4425.8787024799985
2022-10-08 05:00:00+00:00,-299.56592067,237.95857665,4663.837279129999
2022-10-08 06:00:00+00:00,-270.33997719,214.73785882,4878.575137949999
2022-10-08 07:00:00+00:00,-265.46898661,210.86603142,5089.4411693699985
2022-10-08 08:00:00+00:00,-331.22735944,263.09725769,5352.538427059999
2022-10-08 09:00:00+00:00,-311.25629814,247.22956326,5599.767990319999
2022-10-08 10:00:00+00:00,-374.0920768,297.12353967,5896.891529989999
2022-10-08 11:00:00+00:00,-286.4142463,227.48322109,6124.374751079999
2022-10-08 12:00:00+00:00,-306.87240675,243.72780377,6368.102554849999
2022-10-08 13:00:00+00:00,-377.01467115,299.80757054,6667.910125389999
2022-10-08 14:00:00+00:00,-327.3305672,260.30679071,6928.216916099999
2022-10-08 15:00:00+00:00,-336.09835025,267.26560119,7195.482517289999
2022-10-08 16:00:00+00:00,-368.2468881,292.8186599,7488.301177189999
2022-10-08 17:00:00+00:00,-350.711322,278.86807669,7767.169253879999
2022-10-08 18:00:00+00:00,-359.47910505,285.83391318,8053.003167059999
2022-10-08 19:00:00+00:00,-371.16948245,295.15427064,8348.1574377
2022-10-08 20:00:00+00:00,-350.711322,278.88157166,8627.03900936
2022-10-08 21:00:00+00:00,-368.2468881,292.90249343,8919.94150279
2022-10-08 22:00:00+00:00,-347.78872765,276.62047375,9196.561976539999
2022-10-08 23:00:00+00:00,-400.39542595,318.56994166,9515.131918199999
2022-10-09 00:00:00+00:00,-330.25316155,262.76215456,9777.894072759998
2022-10-09 01:00:00+00:00,-362.4016994,288.33623326,10066.23030602
2022-10-09 02:00:00+00:00,-415.0083977,330.18126603,10396.41157205
2022-10-09 03:00:00+00:00,-371.16948245,295.2930207,10691.70459275
2022-10-09 04:00:00+00:00,-353.63391635,281.33521437,10973.03980712
2022-10-09 05:00:00+00:00,-336.09835025,267.38180337,11240.42161049
2022-10-09 06:00:00+00:00,-292.259435,232.50067652,11472.92228701
2022-10-09 07:00:00+00:00,-298.1046237,237.144904,11710.06719101
2022-10-09 08:00:00+00:00,-318.56278415,253.42929886,11963.49648987
2022-10-09 09:00:00+00:00,-328.30476533,261.31842508,12224.81491495
2022-10-09 10:00:00+00:00,-511.4540115,407.08564824,12631.90056319
2022-10-09 11:00:00+00:00,-470.53769058,374.63865838,13006.53922157
2022-10-09 12:00:00+00:00,-330.74026077,263.79282344,13270.33204501
2022-10-09 13:00:00+00:00,-409.1632092,326.31421301,13596.64625802
2022-10-09 14:00:00+00:00,-439.85044989,350.92752668,13947.5737847
2022-10-09 15:00:00+00:00,-323.92087395,258.43576846,14206.00955316
2022-10-09 16:00:00+00:00,-415.98259602,331.87791985,14537.88747301
2022-10-09 17:00:00+00:00,-405.75351579,323.80768107,14861.69515408
2022-10-09 18:00:00+00:00,-313.69179372,250.34518115,15112.04033523
2022-10-09 19:00:00+00:00,-412.57290261,329.25743045,15441.29776568
2022-10-09 20:00:00+00:00,-398.93412897,318.16944731,15759.46721299
2022-10-09 21:00:00+00:00,-385.29535533,307.3253247,16066.792537689998
2022-10-09 22:00:00+00:00,-422.80198284,337.22774346,16404.02028115
2022-10-09 23:00:00+00:00,-422.80198284,337.22277272,16741.24305387
2022-10-10 00:00:00+00:00,-450.07953012,358.91635949,17100.159413359997
2022-10-10 01:00:00+00:00,-381.88566192,304.52606822,17404.685481579996
2022-10-10 02:00:00+00:00,-456.89891694,364.33281701,17769.018298589996
2022-10-10 03:00:00+00:00,-419.39228943,334.41282487,18103.431123459995
2022-10-10 04:00:00+00:00,-473.94738399,377.90113846,18481.332261919997
2022-10-10 05:00:00+00:00,-422.80198284,337.10433658,18818.436598499997
